Date,MCap_btc,MCap_eth,MCap_link,MCap_dot
2020-11-24,354504361032,68580780139.0,6146880911.0,5046372835.0
2020-11-23,340698070308,69089845802.0,6009223002.0,5201454893.0
2020-11-22,340790183317,63361036975.0,5684167331.0,4825834134.0
2020-11-21,345819234185,62379287099.0,6042706777.0,5060561832.0
2020-11-20,345411881099,57860686204.0,5539935066.0,4602682307.0
2020-11-19,330475167134,53528035617.0,5346718844.0,4182706632.0
2020-11-18,330218014062,54412825617.0,5335380994.0,4113722908.0
2020-11-17,327257094857,54505786216.0,5198675836.0,4257774182.0
2020-11-16,309889423249,52182517297.0,4942005574.0,3941257093.0
2020-11-15,295790551598,50771836456.0,4757927484.0,3847021230.0
2020-11-14,297877068423,52193800907.0,4936577002.0,3921402330.0
2020-11-13,302505533181,53829432990.0,5045766668.0,3985281156.0
2020-11-12,301736853825,52278353038.0,4863810509.0,3860331526.0
2020-11-11,291077214052,52493805532.0,5014273699.0,3910436471.0
2020-11-10,283468380961,50981825542.0,5090980020.0,3764453584.0
2020-11-09,284236108837,50350406402.0,4901987590.0,3706261141.0
2020-11-08,286955182899,51408911250.0,4954958453.0,3727855176.0
2020-11-07,274970333140,49380744878.0,4603065620.0,3616897050.0
2020-11-06,288526920959,51528636308.0,4744341015.0,3904829692.0
2020-11-05,288771509681,46916321971.0,4291961277.0,3611129170.0
2020-11-04,261954213176,45559668259.0,4089645472.0,3494221350.0
2020-11-03,258541441764,43907159817.0,4056223428.0,3432306462.0
2020-11-02,251119864445,43398380101.0,4216557628.0,3436367636.0
2020-11-01,254569759063,44888307221.0,4505164094.0,3602960876.0
2020-10-31,255372071116,43776829150.0,4381844695.0,3565574466.0
2020-10-30,251018154920,43344676043.0,4334092396.0,3485720265.0
2020-10-29,248995322466,43782246356.0,4387880069.0,3456075113.0
2020-10-28,245899824465,43994384280.0,4464458198.0,3721889676.0
2020-10-27,252985946390,45726046137.0,4663923833.0,3993760877.0
2020-10-26,242250997936,44576504574.0,4575920268.0,4030479550.0
2020-10-25,241425217440,45966378925.0,4724299098.0,3696424432.0
2020-10-24,242839876186,46666915712.0,4946328238.0,3713574041.0
2020-10-23,239557562148,46356841440.0,4725750536.0,3638119606.0
2020-10-22,240166387522,46795599921.0,4638545711.0,3639910112.0
2020-10-21,237532386963,44354670582.0,4197693182.0,3530916223.0
2020-10-20,220721282865,41745418861.0,3837927712.0,3334145297.0
2020-10-19,217482407293,42961460206.0,4229424991.0,3402569424.0
2020-10-18,212682581771,42761561164.0,4227260785.0,3499821171.0
2020-10-17,210353665235,41698592886.0,4138607215.0,3382668461.0
2020-10-16,209676088344,41396681083.0,4125796634.0,3333451300.0
2020-10-15,212873103428,42659015495.0,3758213257.0,3493136395.0
