Date,Sentiment
2008-09-01,-1.0
2009-09-01,-1.0
2010-09-01,0.0
2011-01-01,0.5
2011-03-01,1.0
2011-06-01,0.0
2011-07-01,-1.0
2011-08-01,-1.0
2012-01-01,1.0
2012-08-01,-1.0
2012-09-01,0.0
2012-10-01,1.0
2012-11-01,1.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,-0.25
2013-04-01,-0.4
2013-05-01,0.3333333333333333
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,1.0
2013-10-01,-1.0
2013-11-01,1.0
2013-12-01,-1.0
2014-01-01,0.2
2014-02-01,-1.0
2014-03-01,0.0
2014-06-01,0.6666666666666666
2014-07-01,1.0
2014-09-01,1.0
2014-12-01,0.5
2015-01-01,0.0
2015-02-01,0.0
2015-10-01,0.0
2016-01-01,0.0
2016-03-01,1.0
2016-07-01,1.0
2016-08-01,-1.0
2016-09-01,1.0
2016-11-01,0.0
2017-01-01,1.0
2017-02-01,1.0
2017-03-01,1.0
2017-05-01,1.0
2017-06-01,0.0
2017-08-01,0.0
2017-11-01,1.0
2017-12-01,-1.0
2018-01-01,-1.0
2018-09-01,-1.0
2019-03-01,1.0
2019-08-01,0.0
2019-09-01,1.0
2019-12-01,-1.0
2020-03-01,-1.0
2020-04-01,-1.0
2020-07-01,1.0
2020-09-01,1.0
2020-12-01,1.0
