id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$
BTC,354676428896,30128287644.87,61.64,$354.68B,$30.13B
ETH,67800079809,14382332171.41,11.78,$67.80B,$14.38B
XRP,28045895552,9442518244.36,4.87,$28.05B,$9.44B
USDT,19505575729,54535818867.17,3.39,$19.51B,$54.54B
LTC,5762550266,5414854852.58,1.0,$5.76B,$5.41B
LINK,5544911323,1212832011.43,0.96,$5.54B,$1.21B
BCH,5438204028,3034791652.59,0.95,$5.44B,$3.03B
DOT,5136081963,537603956.41,0.89,$5.14B,$0.54B
ADA,4899227171,1203821904.58,0.85,$4.90B,$1.20B
BNB,4495691720,398232079.15,0.78,$4.50B,$0.40B
XLM,4000143902,559489505.7,0.7,$4.00B,$0.56B
BSV,3159809192,487706284.11,0.55,$3.16B,$0.49B
USDC,2983498891,687097545.57,0.52,$2.98B,$0.69B
EOS,2882459752,2252978429.7,0.5,$2.88B,$2.25B
HEX,2418487279,4206391.24,0.42,$2.42B,$0.00B
WBTC,2287724461,49398403.21,0.4,$2.29B,$0.05B
XMR,2263468278,371036899.44,0.39,$2.26B,$0.37B
TRX,2214282114,713860435.69,0.38,$2.21B,$0.71B
CDAI,1893592906,19993969.91,0.33,$1.89B,$0.02B
XTZ,1798016071,155978595.61,0.31,$1.80B,$0.16B
XEM,1775903604,52754564.83,0.31,$1.78B,$0.05B
OKB,1456419164,114057882.62,0.25,$1.46B,$0.11B
CRO,1453892236,49290071.91,0.25,$1.45B,$0.05B
FIL,1354666151,183726233.59,0.24,$1.35B,$0.18B
LEO,1326659255,12487957.17,0.23,$1.33B,$0.01B
ATOM,1308173640,249655765.04,0.23,$1.31B,$0.25B
NEO,1280296803,406084721.93,0.22,$1.28B,$0.41B
CEL,1213602991,5357755.61,0.21,$1.21B,$0.01B
DAI,1083021132,112552113.13,0.19,$1.08B,$0.11B
VET,1076751233,159420736.77,0.19,$1.08B,$0.16B
DASH,1036875246,580520257.39,0.18,$1.04B,$0.58B
AAVE,1032401394,311785804.18,0.18,$1.03B,$0.31B
UNI,994666218,354198448.12,0.17,$0.99B,$0.35B
IOT,951460198,19367294.67,0.17,$0.95B,$0.02B
HT,932459114,109629994.8,0.16,$0.93B,$0.11B
YFI,922526256,772021676.15,0.16,$0.92B,$0.77B
ZEC,803523027,484184274.87,0.14,$0.80B,$0.48B
ETC,727895631,594512967.66,0.13,$0.73B,$0.59B
SNX,717438223,61057784.7,0.12,$0.72B,$0.06B
WAVES,715767337,78939734.89,0.12,$0.72B,$0.08B
CETH,682845322,2544322.98,0.12,$0.68B,$0.00B
BUSD,658726735,799413079.94,0.11,$0.66B,$0.80B
BTCV2,654659290,8465433.44,0.11,$0.65B,$0.01B
THETA,635772088,17269606.74,0.11,$0.64B,$0.02B
KSM,572591563,87490094.6,0.1,$0.57B,$0.09B
OMG,541185320,177010687.42,0.09,$0.54B,$0.18B
MKR,507302025,34311021.74,0.09,$0.51B,$0.03B
ONT,473263994,145594240.39,0.08,$0.47B,$0.15B
CUSDC,453590256,2329148.37,0.08,$0.45B,$0.00B
COMP,435810772,66845335.24,0.08,$0.44B,$0.07B
UMA,435444316,10851920.18,0.08,$0.44B,$0.01B
DOGE,426762543,84009741.64,0.07,$0.43B,$0.08B
PAX,400286285,69669087.27,0.07,$0.40B,$0.07B
