id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
BTC,354676428896,30128287644.87,61.64,$354.68B,$30.13B,$354.68B (61.64%)
ETH,67800079809,14382332171.41,11.78,$67.80B,$14.38B,$67.80B (11.78%)
XRP,28045895552,9442518244.36,4.87,$28.05B,$9.44B,$28.05B (4.87%)
USDT,19505575729,54535818867.17,3.39,$19.51B,$54.54B,$19.51B (3.39%)
LTC,5762550266,5414854852.58,1.0,$5.76B,$5.41B,$5.76B (1.0%)
LINK,5544911323,1212832011.43,0.96,$5.54B,$1.21B,$5.54B (0.96%)
BCH,5438204028,3034791652.59,0.95,$5.44B,$3.03B,$5.44B (0.95%)
DOT,5136081963,537603956.41,0.89,$5.14B,$0.54B,$5.14B (0.89%)
ADA,4899227171,1203821904.58,0.85,$4.90B,$1.20B,$4.90B (0.85%)
BNB,4495691720,398232079.15,0.78,$4.50B,$0.40B,$4.50B (0.78%)
XLM,4000143902,559489505.7,0.7,$4.00B,$0.56B,$4.00B (0.7%)
BSV,3159809192,487706284.11,0.55,$3.16B,$0.49B,$3.16B (0.55%)
USDC,2983498891,687097545.57,0.52,$2.98B,$0.69B,$2.98B (0.52%)
EOS,2882459752,2252978429.7,0.5,$2.88B,$2.25B,$2.88B (0.5%)
HEX,2418487279,4206391.24,0.42,$2.42B,$0.00B,$2.42B (0.42%)
WBTC,2287724461,49398403.21,0.4,$2.29B,$0.05B,$2.29B (0.4%)
XMR,2263468278,371036899.44,0.39,$2.26B,$0.37B,$2.26B (0.39%)
TRX,2214282114,713860435.69,0.38,$2.21B,$0.71B,$2.21B (0.38%)
CDAI,1893592906,19993969.91,0.33,$1.89B,$0.02B,$1.89B (0.33%)
XTZ,1798016071,155978595.61,0.31,$1.80B,$0.16B,$1.80B (0.31%)
XEM,1775903604,52754564.83,0.31,$1.78B,$0.05B,$1.78B (0.31%)
OKB,1456419164,114057882.62,0.25,$1.46B,$0.11B,$1.46B (0.25%)
CRO,1453892236,49290071.91,0.25,$1.45B,$0.05B,$1.45B (0.25%)
FIL,1354666151,183726233.59,0.24,$1.35B,$0.18B,$1.35B (0.24%)
LEO,1326659255,12487957.17,0.23,$1.33B,$0.01B,$1.33B (0.23%)
ATOM,1308173640,249655765.04,0.23,$1.31B,$0.25B,$1.31B (0.23%)
NEO,1280296803,406084721.93,0.22,$1.28B,$0.41B,$1.28B (0.22%)
CEL,1213602991,5357755.61,0.21,$1.21B,$0.01B,$1.21B (0.21%)
DAI,1083021132,112552113.13,0.19,$1.08B,$0.11B,$1.08B (0.19%)
VET,1076751233,159420736.77,0.19,$1.08B,$0.16B,$1.08B (0.19%)
DASH,1036875246,580520257.39,0.18,$1.04B,$0.58B,$1.04B (0.18%)
AAVE,1032401394,311785804.18,0.18,$1.03B,$0.31B,$1.03B (0.18%)
UNI,994666218,354198448.12,0.17,$0.99B,$0.35B,$0.99B (0.17%)
IOT,951460198,19367294.67,0.17,$0.95B,$0.02B,$0.95B (0.17%)
HT,932459114,109629994.8,0.16,$0.93B,$0.11B,$0.93B (0.16%)
YFI,922526256,772021676.15,0.16,$0.92B,$0.77B,$0.92B (0.16%)
ZEC,803523027,484184274.87,0.14,$0.80B,$0.48B,$0.80B (0.14%)
ETC,727895631,594512967.66,0.13,$0.73B,$0.59B,$0.73B (0.13%)
SNX,717438223,61057784.7,0.12,$0.72B,$0.06B,$0.72B (0.12%)
WAVES,715767337,78939734.89,0.12,$0.72B,$0.08B,$0.72B (0.12%)
CETH,682845322,2544322.98,0.12,$0.68B,$0.00B,$0.68B (0.12%)
BUSD,658726735,799413079.94,0.11,$0.66B,$0.80B,$0.66B (0.11%)
BTCV2,654659290,8465433.44,0.11,$0.65B,$0.01B,$0.65B (0.11%)
THETA,635772088,17269606.74,0.11,$0.64B,$0.02B,$0.64B (0.11%)
KSM,572591563,87490094.6,0.1,$0.57B,$0.09B,$0.57B (0.1%)
OMG,541185320,177010687.42,0.09,$0.54B,$0.18B,$0.54B (0.09%)
MKR,507302025,34311021.74,0.09,$0.51B,$0.03B,$0.51B (0.09%)
ONT,473263994,145594240.39,0.08,$0.47B,$0.15B,$0.47B (0.08%)
CUSDC,453590256,2329148.37,0.08,$0.45B,$0.00B,$0.45B (0.08%)
COMP,435810772,66845335.24,0.08,$0.44B,$0.07B,$0.44B (0.08%)
UMA,435444316,10851920.18,0.08,$0.44B,$0.01B,$0.44B (0.08%)
DOGE,426762543,84009741.64,0.07,$0.43B,$0.08B,$0.43B (0.07%)
PAX,400286285,69669087.27,0.07,$0.40B,$0.07B,$0.40B (0.07%)
AMPL,380402110,15445222.97,0.07,$0.38B,$0.02B,$0.38B (0.07%)
FTXTOKEN,380068914,12503646.41,0.07,$0.38B,$0.01B,$0.38B (0.07%)
ZIL,363484059,59678495.11,0.06,$0.36B,$0.06B,$0.36B (0.06%)
BAT,359086802,54352167.18,0.06,$0.36B,$0.05B,$0.36B (0.06%)
TUSD,331725307,87726314.95,0.06,$0.33B,$0.09B,$0.33B (0.06%)
DCR,324287222,4179793.23,0.06,$0.32B,$0.00B,$0.32B (0.06%)
DGB,323597991,6577478.45,0.06,$0.32B,$0.01B,$0.32B (0.06%)
SUSHI,319569905,400387866.82,0.06,$0.32B,$0.40B,$0.32B (0.06%)
ZRX,317645217,38192087.99,0.06,$0.32B,$0.04B,$0.32B (0.06%)
REN,296791362,29171663.45,0.05,$0.30B,$0.03B,$0.30B (0.05%)
QTUM,285252652,279646073.68,0.05,$0.29B,$0.28B,$0.29B (0.05%)
ALGO,272090209,137642857.17,0.05,$0.27B,$0.14B,$0.27B (0.05%)
ICX,248379668,17072489.08,0.04,$0.25B,$0.02B,$0.25B (0.04%)
HBAR,245883326,10907740.32,0.04,$0.25B,$0.01B,$0.25B (0.04%)
LRC,239706351,18613303.36,0.04,$0.24B,$0.02B,$0.24B (0.04%)
BITTORRENT,231563787,101271335.2,0.04,$0.23B,$0.10B,$0.23B (0.04%)
