Sentiment,Month,Mth,Year,Action,
M,1,Jan,2011,Other cryptocurrencies began to emerge,
H,1,Jan,2011,EFF started accepting bitcoins in Jan 2011,
L,6,Jun,2011,stopped accepting in Jun 2011,
H,6,Jun,2011,Wikileaks started to accept bitcoins,
M,6,Jun,2011,Security breach at Mt. Gox bitcoin - price dropped but recovered,
L,7,Jul,2011,operator of Bitmat announced that he had lost access to his wallet.dat file with 17K bitcoins,
L,8,Aug,2011,"MyBitcoin declared that it was hacked, leaving more than 78K bitycoins unaccounted for",
H,1,Jan,2012,Bitcoin featured on CBS,
L,8,Aug,2012,Lawsuit filed in SFO against Bitcoinica claiming 46K from the company,
L,8,Aug,2012,Bitcoin Savings and Trust were shut down by bthe owner,
M,9,Sep,2012,"Bitcoin foundation lauched to accelerate the growth of bitcoin through standardization, protection and promotion of open source protocol",
L,9,Sep,2012,Bitfloor was hacked,
H,10,Oct,2012,over 1000 merchants accepted bitcoin under its payment processing service,
H,11,Nov,2012,Wordpress started accepting bitcoins,
M,1,Jan,2013,US treasury extended its anti money laundering regulations,
M,2,Feb,2013,Coinbase reported selling $1M worth of bitcoins at $22,
M,2,Feb,2013,Internet archive announced that it will accept donations in bitcoins and give employees portion of their salaries in bitcoins,
M,3,Mar,2013,blockchain split into 2 independent chains with different rules for transactions,
L,3,Mar,2013,tempoprary halt of transactions lead to a sharp sell-off,
L,3,Mar,2013,FinCEN established regulatory guidelines for Bitcoin,
H,3,Mar,2013,Fincern clear American users of Bitcoin of legal obligations,
M,4,Apr,2013,Payment processors experienced delays due to capacity,
L,4,Apr,2013,Bitcoin exchange rate dropped from 266 to 76,
L,4,Apr,2013,Bitcoin reverted back to 160,
H,4,Apr,2013,30000 bitcoin transactions,
L,4,Apr,2013,Instawallet was hacked resulting in theft of 35K bitcoins,
H,5,May,2013,started accepting again in May 2013,
L,5,May,2013,US Seized all accounts of an invester,
H,5,May,2013,BitInstant processed 30% of the money going into bitcoin,
M,6,Jun,2013,US Drug enforcement listed 11.02 bitcoins as a seized asset,
M,6,Jun,2013,Bitcoin foundation board member received a warning letter accusing him of unlicensed money,
H,7,Jul,2013,"Bitcoing linked with M-Pesa , a mobile payments system",
L,7,Jul,2013,Bitcoin was banned trading on exchanges in Africa,
H,8,Aug,2013,Federal judge ruled that Bitcoin was a form of currency,
H,8,Aug,2013,German Finance Ministry characterized bitcoin as a unit of account,
L,10,Oct,2013,FBI seized 26K Bitcoins from website silk road,
L,10,Oct,2013,Australian based bitcoin wallet provuided was hacked,
