id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,19109.34866981,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,18560362,21000000,354676428896,370,45739,4710,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,19688.58165105,2020-11-30T00:00:00Z,30128287644.87,112.71914373,0.0059,-12838749333.36,-0.2988,2107666351.63,0.0060
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,596.45921518,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,113670940,,67800079809,366,28090,10111,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,1391.74465554,2018-01-13T00:00:00Z,14382332171.41,3.09062830,0.0052,-9428346905.97,-0.3960,359208948.53,0.0053
XRP,XRP,XRP,Ripple,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.61864633,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,45334295892,100000000000,28045895552,239,1085,63,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,3,0,2.77042676,2018-01-07T00:00:00Z,9442518244.36,-0.00539801,-0.0087,-4069300095.47,-0.3012,-244714839.06,-0.0087
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00489101,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,19410638050,,19505575729,288,17420,5157,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,4,0,1.09265004,2017-12-07T00:00:00Z,54535818867.17,0.01179828,0.0119,-23151688132.69,-0.2980,279659964.79,0.0145
LTC,LTC,LTC,Litecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ltc.svg,active,87.31148131,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,65999914,84000000,5762550266,300,2086,331,2013-03-25T00:00:00Z,2013-03-25T00:00:00Z,2018-08-29T00:00:00Z,5,0,356.45315868,2017-12-18T00:00:00Z,5414854852.58,-0.12978655,-0.0015,-1750559798.54,-0.2443,-7910091.36,-0.0014
LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/link.svg,active,14.05520154,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,394509556,1000000000,5544911323,169,880,3,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,6,1,19.17258203,2020-08-15T00:00:00Z,1212832011.43,0.37586393,0.0275,-495489353.93,-0.2900,148281913.40,0.0275
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bch.svg,active,292.55613039,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,18588583,21000000,5438204028,244,1227,100,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,7,-1,3719.02820920,2017-12-20T00:00:00Z,3034791652.59,-0.38642692,-0.0013,-1773127479.24,-0.3688,-6941451.46,-0.0013
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOTOLD.jpg,active,5.48165802,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,936957749,1017905626,5136081963,66,147,0,2019-06-04T00:00:00Z,2020-07-16T00:00:00Z,2019-08-28T00:00:00Z,8,1,368.04500266,2020-08-10T00:00:00Z,537603956.41,0.33905281,0.0659,-160748497.75,-0.2302,318414904.92,0.0661
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.15746821,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,31112484646,45000000000,4899227171,89,234,0,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,9,-1,1.15673848,2018-01-04T00:00:00Z,1203821904.58,0.00077408,0.0049,-507016480.56,-0.2964,24083705.13,0.0049
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,30.40013322,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,147883948,179883948,4495691720,105,1076,10,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,10,0,38.91258066,2019-06-21T00:00:00Z,398232079.15,0.12030655,0.0040,-129669262.87,-0.2456,17791407.48,0.0040
