id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,max_supply,first_trade
KRT,KRT,KRT,TerraKRW,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KRT.jpg,active,0.00089569,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,115790687575,103712477,3,3,0,2019-06-11T00:00:00Z,2019-07-04T00:00:00Z,101,-2,0.00090043,2020-11-30T00:00:00Z,49094.24,0.00000379,0.0042,-102797.07,-0.6768,-2349074.84,-0.0221
BCD,BCD,BCD,Bitcoin Diamond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bcd.svg,active,0.54910178,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,188156898,103317287,41,82,0,2017-11-24T00:00:00Z,2018-08-29T00:00:00Z,102,0,103.12161374,2017-11-25T00:00:00Z,1747663.04,0.00494509,0.0091,-1006482.15,-0.3654,930452.03,0.0091,210000000,2017-11-24T00:00:00Z
XDCE,XDCE,XDC,XinFin Digital Contract,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XDCE.jpg,active,0.00836225,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,12227607787,102250322,22,46,0,2018-04-05T00:00:00Z,2019-06-04T00:00:00Z,103,-3,0.01162118,2018-04-26T00:00:00Z,871043.55,-0.00011386,-0.0134,204744.47,0.3073,-1390268.53,-0.0134,37627607787,2018-04-05T00:00:00Z
CHSB,CHSB,CHSB,SwissBorg,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHSB.png,active,0.11019845,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,927672280,102228045,10,20,0,2018-01-31T00:00:00Z,2019-07-26T00:00:00Z,104,-1,0.16726141,2020-06-17T00:00:00Z,515692.60,0.00363619,0.0341,-441450.29,-0.4612,3375309.51,0.0341,1000000000,2018-01-31T00:00:00Z
MONA,MONA,MONA,MonaCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mona.svg,active,1.39807617,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,72755000,101717032,21,58,0,2014-04-19T00:00:00Z,2018-09-12T00:00:00Z,105,-1,15.06833335,2017-12-08T00:00:00Z,2985570.25,0.05650166,0.0421,-4367881.78,-0.5940,4110778.20,0.0421,105120000,2017-11-22T00:00:00Z
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,2.11835213,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,46264316,98004112,14,33,0,2020-04-07T00:00:00Z,2020-04-07T00:00:00Z,106,1,4.76079398,2020-08-31T00:00:00Z,18062799.67,0.11794395,0.0590,2612203.57,0.1691,5456994.24,0.0590,488630611,2020-04-10T00:00:00Z
AR,AR,AR,Arweave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AR.jpeg,active,2.20949958,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,43825615,96832678,13,18,0,2020-02-13T00:00:00Z,2020-02-13T00:00:00Z,107,-2,6.90794797,2020-08-29T00:00:00Z,2478080.81,0.05779911,0.0269,-375470.61,-0.1316,2533081.39,0.0269,66000000,2020-06-20T00:00:00Z
LEND,LEND,LEND,Aave (Old),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/lend.svg,active,0.86224892,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,108360225,93433487,71,161,1,2017-12-08T00:00:00Z,2018-08-29T00:00:00Z,108,8,0.86224892,2020-12-02T00:00:00Z,1306068.02,0.10967425,0.1457,100254.53,0.0831,10874882.82,0.1317,1299999942,2017-12-08T00:00:00Z
AVAX,AVAX,AVAX,Avalanche,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AVAX.png,active,3.80637388,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,24509772,93293354,20,41,0,2020-07-08T00:00:00Z,2020-07-08T00:00:00Z,109,1,4.72560312,2020-09-25T00:00:00Z,20507716.68,0.20556071,0.0571,-3615953.35,-0.1499,5038246.06,0.0571,360000000,2020-07-22T00:00:00Z
MATIC,MATIC,MATIC,Matic Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/matic.png,active,0.01952549,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,4757759104,92897563,57,135,0,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,110,-2,0.04147589,2019-12-08T00:00:00Z,7842876.24,0.00058055,0.0306,-4267850.19,-0.3524,2762139.49,0.0306,10000000000,2019-04-26T00:00:00Z
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,1.43441292,2020-12-02T00:00:00Z,2020-12-02T21:06:00Z,62720643,89967300,6,13,0,2020-04-17T00:00:00Z,2020-04-17T00:00:00Z,111,0,1.87484641,2020-09-25T00:00:00Z,660070.24,0.04773688,0.0344,-559700.92,-0.4589,3211732.28,0.0370,,2020-09-15T00:00:00Z
