id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_trade,first_priced_at
SHA,SHA,SHA,Safe Haven,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHA.png,active,0.00277059,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,4700000000,8500000000,13021753,4,9,0,2018-11-06T00:00:00Z,2019-12-09T00:00:00Z,301,2,0.00672963,2020-08-24T00:00:00Z,607908.14,0.00004534,0.0166,5485.19,0.0091,213099.41,0.0166
NEX,NEX,NEX,Nash Exchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nex.jpg,active,0.91846389,2020-12-06T00:00:00Z,2020-12-06T20:39:00Z,13943022,50000000,12806162,4,9,0,2018-11-09T00:00:00Z,2019-06-05T00:00:00Z,302,9,3.27407191,2019-08-05T00:00:00Z,168017.26,0.06589103,0.0773,105791.81,1.7001,918720.13,0.0773,2019-03-26T00:00:00Z
RDN,RDN,RDN,Raiden Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/rdn.svg,active,0.19088112,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,66793935,99999999,12749701,29,52,0,2017-11-09T00:00:00Z,2018-08-29T00:00:00Z,303,-3,8.06103281,2018-01-09T00:00:00Z,722460.22,-0.00855960,-0.0429,-143148.23,-0.1654,-571729.51,-0.0429,2017-11-09T00:00:00Z
MRPH,MRPH,MRPH,Morpheus Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mrph.jpg,active,0.36435972,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,34980013,47897218,12745308,9,12,0,2018-07-01T00:00:00Z,2019-09-06T00:00:00Z,304,-8,0.46369586,2020-12-03T00:00:00Z,958920.39,-0.03936499,-0.0975,-134788.57,-0.1232,-1376987.71,-0.0975,2018-07-01T00:00:00Z
MET,MET,MET,Metronome,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/met.png,active,1.11603081,2020-12-06T00:00:00Z,2020-12-06T20:47:00Z,11234067,12578235,12537565,17,29,0,2018-06-25T00:00:00Z,2018-09-12T00:00:00Z,305,0,4.45007503,2018-07-07T00:00:00Z,103041.53,-0.01292371,-0.0114,-42888.45,-0.2939,-141935.04,-0.0112,2018-06-25T00:00:00Z
TKN,TKN,TKN,Monolith,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TKN.jpg,active,0.36204056,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,34541835,39406760,12505545,16,27,0,2017-05-26T00:00:00Z,2018-09-07T00:00:00Z,306,0,3.82259861,2018-01-13T00:00:00Z,310623.61,-0.00069536,-0.0019,6841.23,0.0225,-24018.86,-0.0019,2017-05-26T00:00:00Z
BOS,BOS,BOS,BOScoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bos.png,active,0.02772811,2020-12-06T00:00:00Z,2020-12-06T20:22:00Z,448338751,500000000,12431584,8,11,1,2017-05-10T00:00:00Z,2019-03-14T00:00:00Z,307,1,5.94671247,2018-01-13T00:00:00Z,1862.68,0.00022678,0.0082,1649.16,7.7237,101675.65,0.0082,2017-05-10T00:00:00Z
PLU,PLU,PLU,Pluton,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/plu.svg,active,6.60716294,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,1852000,20000000,12236462,14,28,0,2017-05-31T00:00:00Z,2019-10-18T00:00:00Z,308,-6,32.36484910,2017-08-07T00:00:00Z,301840.28,-0.36317353,-0.0521,-118804.28,-0.2824,-672597.19,-0.0521,2017-05-31T00:00:00Z
NXT,NXT,NXT,Nxt,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nxt.svg,active,0.01224563,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,998999942,1000000000,12233383,18,34,3,2014-01-19T00:00:00Z,2018-09-12T00:00:00Z,309,7,1.84029073,2017-12-23T00:00:00Z,1165420.90,0.00089467,0.0788,-201180.56,-0.1472,893780.24,0.0788,2014-01-19T00:00:00Z
1ST,1ST,1ST,Firstblood,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1ST.svg,active,0.14871476,2020-12-06T00:00:00Z,2020-12-06T19:41:00Z,81468683,93468684,12115595,8,16,0,2017-05-10T00:00:00Z,2019-02-14T00:00:00Z,310,0,2.42193893,2017-06-19T00:00:00Z,291.33,-0.00017478,-0.0012,165.42,1.3139,-14238.83,-0.0012,2017-05-10T00:00:00Z
APL,APL,APL,Apollo Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APL.jpg,active,0.00081565,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,14685096531,21165096531,11977881,8,14,1,2019-03-14T00:00:00Z,2019-03-14T00:00:00Z,311,15,0.00280462,2019-03-27T00:00:00Z,575837.28,0.00013416,0.1969,77006.39,0.1544,1970082.18,0.1969,2019-10-24T00:00:00Z
CHR,CHR,CHR,Chromia,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHR.png,active,0.02632379,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,449405999,510313488,11830070,21,38,0,2019-05-28T00:00:00Z,2019-07-01T00:00:00Z,312,-5,0.12604009,2019-06-26T00:00:00Z,2420151.52,-0.00123805,-0.0449,293162.91,0.1378,-556386.31,-0.0449,2019-06-18T00:00:00Z
KAN,KAN,KAN,BitKan,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kan.png,active,0.00215459,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,5452621227,10000000000,11748171,13,30,0,2018-12-17T00:00:00Z,2019-02-14T00:00:00Z,313,0,0.00706870,2019-04-02T00:00:00Z,485941.02,0.00000449,0.0021,8031.42,0.0168,24504.01,0.0021,2019-06-18T00:00:00Z
COCOS,COCOS,COCOS,COCOS BCX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COCOS.jpeg,active,0.00029743,2020-12-06T00:00:00Z,2020-12-06T20:44:00Z,39326586220,100000000000,11696922,14,25,0,2019-06-17T00:00:00Z,2019-07-11T00:00:00Z,314,1,0.00442419,2019-08-03T00:00:00Z,837608.56,0.00000434,0.0148,-4394.71,-0.0052,170504.42,0.0148,2019-08-21T00:00:00Z
