Week,Bitcoin
2015-12-13,3
2015-12-20,3
2015-12-27,2
2016-01-03,3
2016-01-10,3
2016-01-17,3
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,3
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,3
2016-05-01,4
2016-05-08,3
2016-05-15,2
2016-05-22,3
2016-05-29,3
2016-06-05,3
2016-06-12,5
2016-06-19,4
2016-06-26,3
2016-07-03,3
2016-07-10,3
2016-07-17,2
2016-07-24,3
2016-07-31,3
2016-08-07,3
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,3
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,3
2016-10-16,3
2016-10-23,3
2016-10-30,3
2016-11-06,3
2016-11-13,3
2016-11-20,3
2016-11-27,3
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,5
2017-01-01,7
2017-01-08,5
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,5
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,10
2017-05-14,11
2017-05-21,19
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,15
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,18
2017-09-10,21
2017-09-17,16
2017-09-24,12
2017-10-01,12
2017-10-08,19
2017-10-15,19
2017-10-22,20
2017-10-29,28
2017-11-05,29
2017-11-12,31
2017-11-19,27
2017-11-26,64
2017-12-03,91
2017-12-10,86
2017-12-17,100
2017-12-24,62
2017-12-31,48
2018-01-07,45
2018-01-14,57
2018-01-21,38
2018-01-28,39
2018-02-04,48
2018-02-11,27
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,19
2018-03-18,18
2018-03-25,18
2018-04-01,17
2018-04-08,16
2018-04-15,14
2018-04-22,15
2018-04-29,12
2018-05-06,13
2018-05-13,12
2018-05-20,11
2018-05-27,10
2018-06-03,9
2018-06-10,13
2018-06-17,10
2018-06-24,11
2018-07-01,10
2018-07-08,9
2018-07-15,11
2018-07-22,12
2018-07-29,10
2018-08-05,11
2018-08-12,11
2018-08-19,10
2018-08-26,10
2018-09-02,11
2018-09-09,10
2018-09-16,9
2018-09-23,9
2018-09-30,8
2018-10-07,8
2018-10-14,8
2018-10-21,8
2018-10-28,7
2018-11-04,8
2018-11-11,10
2018-11-18,14
2018-11-25,14
2018-12-02,11
2018-12-09,11
2018-12-16,11
2018-12-23,10
2018-12-30,9
2019-01-06,9
2019-01-13,8
2019-01-20,7
2019-01-27,7
2019-02-03,8
2019-02-10,7
2019-02-17,8
2019-02-24,8
2019-03-03,7
2019-03-10,7
2019-03-17,7
2019-03-24,7
2019-03-31,12
2019-04-07,10
2019-04-14,8
2019-04-21,9
2019-04-28,9
2019-05-05,12
2019-05-12,19
2019-05-19,13
2019-05-26,14
2019-06-02,12
2019-06-09,11
2019-06-16,17
2019-06-23,25
2019-06-30,17
2019-07-07,16
2019-07-14,16
2019-07-21,13
2019-07-28,12
2019-08-04,14
2019-08-11,13
2019-08-18,12
2019-08-25,11
2019-09-01,11
2019-09-08,9
2019-09-15,9
2019-09-22,12
2019-09-29,10
2019-10-06,10
2019-10-13,9
2019-10-20,10
2019-10-27,11
2019-11-03,9
2019-11-10,8
2019-11-17,10
2019-11-24,10
2019-12-01,9
2019-12-08,8
2019-12-15,9
2019-12-22,8
2019-12-29,8
2020-01-05,11
2020-01-12,11
2020-01-19,10
2020-01-26,10
2020-02-02,11
2020-02-09,13
2020-02-16,11
2020-02-23,11
2020-03-01,10
2020-03-08,19
2020-03-15,20
2020-03-22,15
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,12
2020-04-26,16
2020-05-03,18
2020-05-10,21
2020-05-17,14
2020-05-24,12
2020-05-31,13
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,10
2020-07-26,16
2020-08-02,15
2020-08-09,13
2020-08-16,13
2020-08-23,11
2020-08-30,12
2020-09-06,11
2020-09-13,10
2020-09-20,9
2020-09-27,9
2020-10-04,9
2020-10-11,9
2020-10-18,13
2020-10-25,14
2020-11-01,15
2020-11-08,15
2020-11-15,22
2020-11-22,25
2020-11-29,21
